metric,value_run_2,value_run_3,value_run_4,value_run_5
accuracy,0.18,0.05,0.0,0.0
macro_avg_f1,0.0152395740905057,0.0052641746353713,0.0,0.0
precision,0.0148626373626373,0.0270408163265306,0.0,0.0
recall,0.0386243386243386,0.0518518518518518,0.0,0.0
f1_score,0.021335403726708,0.0073698444895199,0.0,0.0
prediction_mean,20.83,3.48,7.28,7.28
prediction_std,8.760199769411654,3.36,1.1582745788456206,1.1582745788456206
prediction_latency,0.0206396579742431,0.0359523296356201,0.0233712196350097,0.0233712196350097
cpu_usage,35.6,36.1,35.7,35.7
memory_usage,12.5,12.5,12.3,12.3
